-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,
-inf,0.00000000,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,
-inf,-inf,-3.46573591,-6.93147182,-9.01091385,-11.09035492,-13.16979694,-15.24923897,-17.32868004,-19.40812111,-21.48756218,-23.56700325,-25.64644432,-27.72588539,-29.80532646,-31.88476753,-33.96421051,
-inf,-inf,-6.93147182,-6.81368876,-9.43212700,-11.37803745,-13.33969593,-15.31377697,-17.29790878,-19.29033852,-21.28973961,-23.29507256,-25.30552101,-27.32042503,-29.33924294,-31.36152458,-33.38690186,
-inf,-inf,-9.01091385,-9.43212700,-10.04523087,-12.18994522,-14.02592182,-15.89285088,-17.78317833,-19.69190598,-21.61553001,-23.55150414,-25.49789429,-27.45321274,-29.41627884,-31.38613319,-33.36199570,
-inf,-inf,-11.09035492,-11.37803745,-12.18994522,-13.16492558,-15.02278042,-16.77101898,-18.56200981,-20.38472748,-22.23212051,-24.09936333,-25.98299408,-27.88042641,-29.78967857,-31.70918083,-33.63767242,
-inf,-inf,-13.16979694,-13.33969593,-14.02592182,-15.02278042,-16.19057465,-17.87694931,-19.55707550,-21.28746796,-23.05514717,-24.85185242,-26.67194748,-28.51138878,-30.36716080,-32.23694229,-34.11890030,
-inf,-inf,-15.24923897,-15.31377697,-15.89285088,-16.77101898,-17.87694931,-19.14665413,-20.73284912,-22.36104965,-24.04317474,-25.76576805,-27.52013779,-29.30028915,-31.10188293,-32.92166138,-34.75709152,
-inf,-inf,-17.32868004,-17.29790878,-17.78317833,-18.56200981,-19.55707550,-20.73284912,-22.05544281,-23.58341408,-25.17232704,-26.81593895,-28.50138092,-30.22010422,-31.96610069,-33.73495483,-35.52330017,
-inf,-inf,-19.40812111,-19.29033852,-19.69190598,-20.38472748,-21.28746796,-22.36104965,-23.58341408,-24.93321228,-26.42668152,-27.98579216,-29.59851456,-31.25314903,-32.94165039,-34.65822983,-36.39853668,
-inf,-inf,-21.48756218,-21.28973961,-21.61553001,-22.23212051,-23.05514717,-24.04317474,-25.17232704,-26.42668152,-27.79055405,-29.26271820,-30.79899216,-32.38673401,-34.01564407,-35.67835999,-37.36943054,
-inf,-inf,-23.56700325,-23.29507256,-23.55150414,-24.09936333,-24.85185242,-25.76576805,-26.81593895,-27.98579216,-29.26271820,-30.63403893,-32.09228516,-33.61079407,-35.17813110,-36.78539276,-38.42595673,
-inf,-inf,-25.64644432,-25.30552101,-25.49789429,-25.98299408,-26.67194748,-27.52013779,-28.50138092,-29.59851456,-30.79899216,-32.09228516,-33.46772003,-34.91630554,-36.42073059,-37.97121429,-39.56011200,
-inf,-inf,-27.72588539,-27.32042503,-27.45321274,-27.88042641,-28.51138878,-29.30028915,-30.22010422,-31.25314903,-32.38673401,-33.61079407,-34.91630554,-36.29413605,-37.73563385,-39.22868347,-40.76508331,
-inf,-inf,-29.80532646,-29.33924294,-29.41627884,-29.78967857,-30.36716080,-31.10188293,-31.96610069,-32.94165039,-34.01564407,-35.17813110,-36.42073059,-37.73563385,-39.11495972,-40.55098724,-42.03468323,
-inf,-inf,-31.88476753,-31.36152458,-31.38613319,-31.70918083,-32.23694229,-32.92166138,-33.73495483,-34.65822983,-35.67835999,-36.78539276,-37.97121429,-39.22868347,-40.55098724,-41.93131256,-43.36296082,
-inf,-inf,-33.96421051,-33.38690186,-33.36199570,-33.63767242,-34.11890030,-34.75709152,-35.52330017,-36.39853668,-37.36943054,-38.42595673,-39.56011200,-40.76508331,-42.03468323,-43.36296082,-44.74401093,
-inf,-inf,-36.04364777,-35.41504669,-35.34321594,-35.57412720,-36.01156616,-36.60618591,-37.32852173,-38.15923309,-39.08470917,-40.09479523,-41.18152618,-42.33826447,-43.55917358,-44.83884430,-46.17204285,
-inf,-inf,-38.12309265,-37.44570160,-37.32923889,-37.51769257,-37.91372681,-38.46731567,-39.14852905,-39.93767548,-40.82092285,-41.78799438,-42.83087921,-43.94302368,-45.11881256,-46.35314941,-47.64129639,
-inf,-inf,-40.20252991,-39.47862244,-39.31961060,-39.46764374,-39.82438660,-40.33916473,-40.98160553,-41.73173523,-42.57547760,-43.50242615,-44.50450897,-45.57519531,-46.70898438,-47.90100861,-49.14681244,
-inf,-inf,-42.28197479,-41.51361084,-41.31392670,-41.42337799,-41.74269104,-42.22061157,-42.82636261,-43.53965759,-44.34624481,-45.23556519,-46.19946289,-47.23139954,-48.32593536,-49.47834015,-50.68435669,
-inf,-inf,-44.36141205,-43.55049133,-43.31184387,-43.38436890,-43.66793823,-44.11073303,-44.68161011,-45.36001587,-46.13147736,-46.98532867,-47.91331482,-48.90886688,-49.96656036,-51.08174133,-52.25029755,
